name,style,field,producer,qualityControl,sales
NXP S32V234,高级驾驶辅助系统 (ADAS),专为ADAS设计，支持图像处理、传感器融合等功能,NXP半导体公司,符合ISO 26262功能安全标准,广泛应用于汽车行业，尤其是在自动驾驶领域
Qualcomm Snapdragon Automotive 3,车载娱乐与信息系统,基于Snapdragon移动平台，集成高性能计算、AI加速、图形处理等功能,Qualcomm,符合汽车行业的可靠性和安全性标准,主要销售给车企和Tier 1供应商
Intel Mobileye EyeQ5,自动驾驶与ADAS,专为自动驾驶开发，支持高精度图像处理、深度学习和感知算法,Intel的Mobileye部门,符合ISO 26262功能安全标准,广泛应用于特斯拉、宝马等汽车品牌的自动驾驶系统
Renesas R-Car H3,车载信息娱乐、ADAS,支持高性能视频和图像处理，集成多个处理器核心，适用于自动驾驶和信息娱乐,瑞萨电子（Renesas）,通过汽车级的可靠性测试,主要面向车载信息娱乐系统及驾驶辅助系统
Bosch ESP 9,电子稳定程序（ESP）,ESP控制单元用于车辆动态控制，确保行车安全,Bosch,严格通过汽车安全认证,供应给全球多个汽车制造商
Texas Instruments TMS320F28379D,动力系统与电池管理,数字信号处理器（DSP），用于电机控制和电池管理系统,德州仪器（TI）,符合汽车行业对可靠性和精度的要求,广泛应用于电动汽车的动力总成控制系统
Infineon AURIX TC4xx,动力系统控制、ADAS,高性能微控制器，支持实时计算和故障安全设计,英飞凌（Infineon）,符合ISO 26262功能安全标准,广泛应用于汽车电子控制单元（ECU）中
STMicroelectronics SPC58,汽车ECU与动力系统,高性能多核微控制器，适用于车辆电子控制和动力管理,意法半导体（STMicroelectronics）,符合ISO 26262认证,主要销售给Tier 1供应商及汽车制造商
NXP TJA1044,车载通信（CAN总线）,高速CAN总线收发器，用于车内各电子模块之间的通信,NXP半导体公司,符合车载通信标准,广泛用于汽车行业的通信模块
Broadcom BCM8981,车载网络与通信,集成了Ethernet、CAN和LIN等多种通信协议，适用于车载网络,Broadcom,通过汽车级认证,销售给车企和汽车网络系统供应商
Renesas RX64M,车载仪表与控制系统,高性能微控制器，适用于仪表盘和中央控制系统,瑞萨电子（Renesas）,符合汽车行业安全标准,广泛应用于汽车仪表和ECU
Microchip ATSAMV71Q21,车载信息娱乐系统,高性能微控制器，集成了图形处理和多媒体功能,Microchip Technology,符合汽车标准,销售给车载娱乐系统供应商
Autotalks V2X Chipset,车联网（V2X通信）,专为车与车、车与基础设施之间的通信设计,Autotalks,符合V2X通信标准,供应给车联网系统供应商和车企
ON Semiconductor NCV7351,电动汽车充电管理,用于电动汽车充电系统的电流传感器与控制IC,安森美半导体（ON Semiconductor）,符合车载电气系统的可靠性要求,主要销售给电动汽车充电系统制造商
Visteon SmartCore,车载信息娱乐与控制系统,智能车载平台，整合多项车内功能,维斯顿（Visteon）,符合汽车行业的质量和安全标准,销售给主机厂及Tier 1供应商
Renesas RL78,汽车低功耗控制系统,低功耗微控制器，适用于车灯、座椅控制等低功耗应用,瑞萨电子（Renesas）,符合汽车级可靠性要求,广泛应用于入门级汽车和电动汽车中
Qualcomm Snapdragon Ride,自动驾驶与ADAS,集成AI加速的自动驾驶平台,Qualcomm,符合汽车安全标准,供应给自动驾驶系统和ADAS解决方案供应商
Maxim Integrated MAX14920,汽车传感器接口,集成多个传感器接口，用于车辆电子系统的数据采集和处理,Maxim Integrated,符合车载电子系统的稳定性要求,应用于车载传感器系统
Cypress CY8C4247AZI-M445,车载传感器与安全控制,用于汽车安全系统的可编程系统芯片（PSoC）,赛米控（Cypress）,符合车载标准,广泛应用于安全控制和传感器系统
Infineon XE167,动力系统与汽车电子控制,高性能微控制器，适用于汽车发动机控制与电动驱动系统,英飞凌（Infineon）,符合ISO 26262功能安全标准,销售给动力系统及ECU制造商
NXP LPC1758,车载控制系统,基于ARM Cortex-M3内核的微控制器，适用于车载电子系统,NXP半导体公司,符合汽车行业的长期稳定性要求,用于中低端车载控制系统
TI C2000 TMS320F28377D,动力系统与电池管理,数字信号处理器（DSP），用于电动汽车电机控制和电池管理,德州仪器（TI）,通过严格的汽车级可靠性测试,销售给电池管理系统制造商
NXP S32K144,汽车ECU与安全控制,基于ARM Cortex-M4内核的微控制器，适用于电子控制单元（ECU）,NXP半导体公司,符合ISO 26262功能安全标准,销售给汽车电子供应商
Infineon TLE9251,车载网络与通信,LIN收发器，用于车辆各子系统之间的低速通讯,英飞凌（Infineon）,符合车载电子通信标准,应用于车内低速通信系统
Qualcomm Snapdragon Automotive 8 Gen 3,车载娱乐与信息系统,集成AI处理、图像处理和5G通信的高性能汽车平台,Qualcomm,符合汽车级标准,用于高级车载信息娱乐系统和ADAS
Microchip PIC32MX,车载仪表与控制系统,32位微控制器，适用于车载仪表盘和控制系统,Microchip Technology,符合汽车标准,应用于汽车仪表板、显示系统和控制系统
STMicroelectronics L99DZ300,汽车LED照明控制,用于汽车LED灯光控制的集成电路,意法半导体（STMicroelectronics）,符合车载电子控制标准,应用于LED车灯和汽车内饰照明控制
Renesas RH850/U2B,汽车动力总成控制,高性能微控制器，专为汽车动力总成设计,瑞萨电子（Renesas）,符合ISO 26262功能安全标准,用于发动机控制系统及车辆动力管理系统
NXP MR2,车载无线通信,集成多种无线通信协议，如蓝牙、Wi-Fi、车载网络通信,NXP半导体公司,符合汽车无线通信标准,销售给车载无线通信系统和V2X应用开发商
Texas Instruments TMS570LS3137,汽车安全与控制系统,基于ARM Cortex-R4F内核的微控制器，适用于安全关键型应用,德州仪器（TI）,符合ISO 26262标准,广泛应用于汽车安全电子和控制系统
Analog Devices ADuM4135,电源管理与隔离,高性能数字隔离器，支持汽车电气系统中的信号传输和电源隔离,模拟器件（Analog Devices）,符合汽车标准,用于车载电气系统
Broadcom BCM8910,车载网络与通信,集成多个车载网络接口，如CAN、Ethernet,Broadcom,符合车载通信和数据传输标准,应用于车载信息娱乐系统和ADAS中
Microchip dsPIC33EP512MU810,汽车电动控制与电池管理,数字信号控制器（DSC），用于电动汽车电机控制和电池管理系统,Microchip Technology,符合汽车标准,销售给电动汽车动力管理系统制造商
Infineon XMC4500,汽车动力控制与安全,高性能32位微控制器，支持车辆动力控制系统中的实时运算和安全管理,英飞凌（Infineon）,符合ISO 26262功能安全标准,应用于动力总成控制系统和车载安全系统
Qualcomm Snapdragon Ride Flex,自动驾驶与ADAS,集成AI处理和自动驾驶算法的自动驾驶平台,Qualcomm,符合车载功能安全和高可靠性要求,用于自动驾驶系统和ADAS
Renesas RL78/G14,车载控制系统,超低功耗微控制器，适用于汽车中的传感器控制和小型ECU,瑞萨电子（Renesas）,符合车载电子可靠性要求,广泛应用于小型车载控制系统中
ON Semiconductor NCP81239,汽车电池管理与充电,专用于电动汽车的电源管理芯片,安森美半导体（ON Semiconductor）,符合汽车级可靠性和安全要求,应用于电动汽车的电池管理和充电系统
STMicroelectronics STM32F413,车载通信与控制,基于ARM Cortex-M4内核的微控制器，适用于车载通信和控制系统,意法半导体（STMicroelectronics）,符合ISO 26262标准,广泛应用于车辆通信和控制系统中
NVIDIA Orin,自动驾驶与ADAS,高性能AI处理器，适用于自动驾驶数据处理,NVIDIA,符合ISO 26262标准,广泛用于高级自动驾驶系统
Samsung Exynos Auto V9,车载信息娱乐系统,多媒体处理与AI加速芯片,三星电子,符合汽车信息娱乐标准,主要用于豪华汽车的信息娱乐系统
MediaTek Autus R10,车载通信与导航,支持5G通信和GNSS导航,联发科,符合汽车通信标准,应用于车载导航和通信模块
Renesas V3H,视觉处理与ADAS,专为视觉处理设计的高性能处理器,瑞萨电子（Renesas）,通过汽车级安全认证,主要用于视觉感知系统
Infineon TLE9221SX,车载网络接口,多协议收发器，支持CAN FD和LIN,英飞凌（Infineon）,符合车载通信标准,用于下一代车载通信系统
TI Jacinto 7 TDA4VM,自动驾驶与ADAS,集成AI加速与图像处理的汽车SoC,德州仪器（TI）,符合ISO 26262标准,广泛应用于自动驾驶开发平台
Xilinx Zynq UltraScale+ MPSoC,自动驾驶与ADAS,可编程逻辑芯片，支持实时计算和传感器融合,Xilinx（赛灵思）,符合汽车功能安全要求,用于高级自动驾驶系统
NXP i.MX 8QuadXPlus,车载信息娱乐系统,高性能处理器，支持多媒体播放和图形处理,NXP半导体公司,通过汽车级可靠性认证,主要用于车载信息娱乐系统
Bosch MPC5777C,动力系统控制,三核处理器，用于汽车动力系统的实时控制,Bosch,符合ISO 26262标准,广泛应用于发动机和变速箱控制系统
STMicroelectronics SPC5x,汽车ECU与动力系统,32位多核微控制器，支持高性能计算,意法半导体（STMicroelectronics）,符合ISO 26262标准,用于ECU和动力系统
Qualcomm Snapdragon Automotive 8155,车载娱乐与导航,支持AI语音助手和多媒体处理,Qualcomm,符合汽车行业标准,用于中高级车载娱乐系统
Analog Devices ADXL372,汽车安全与传感器,超低功耗加速度计，适用于碰撞检测,Analog Devices,符合汽车传感器可靠性标准,应用于汽车安全气囊系统
Maxim Integrated MAX9278A,车载摄像头接口,支持高速视频传输的串行解码器,Maxim Integrated,符合车载视频接口标准,应用于车载摄像头系统
Intel Atom A3900,车载信息与ADAS,专为车载环境设计的低功耗处理器,Intel,符合ISO 26262标准,用于智能驾驶舱和信息娱乐系统
Microchip PIC18F26K83,车载低功耗控制,适用于低功耗车载控制系统的8位微控制器,Microchip Technology,符合汽车级认证,应用于汽车灯光和车门控制
Renesas R-Car V3M,图像处理与ADAS,专为ADAS设计的图像处理器,瑞萨电子（Renesas）,符合汽车功能安全标准,广泛用于驾驶辅助系统
Broadcom BCM53154,车载以太网交换机,支持多端口汽车以太网通信,Broadcom,符合汽车以太网标准,用于车载网络交换机
Infineon TLE71080,动力系统控制,用于发动机和变速箱控制的电源驱动IC,英飞凌（Infineon）,符合ISO 26262标准,广泛应用于动力系统
Qualcomm C-V2X 9150,车联网（V2X通信）,支持车与车、车与基础设施的通信,Qualcomm,符合C-V2X标准,用于车联网应用
Texas Instruments DRV8305,电机控制,三相电机驱动芯片,德州仪器（TI）,通过汽车级可靠性测试,应用于电动汽车的电机控制
ON Semiconductor NCV7719,汽车座椅控制,多通道低功耗驱动芯片,安森美半导体（ON Semiconductor）,符合汽车级可靠性要求,用于座椅调节系统
NXP SJA1110,车载网络与通信,支持以太网AVB的多端口交换机,NXP半导体公司,符合汽车网络标准,应用于车载通信系统
STMicroelectronics L9788,汽车动力总成控制,用于发动机控制的高性能芯片,意法半导体（STMicroelectronics）,符合ISO 26262标准,广泛用于动力总成管理
Renesas RH850/P1H-C,汽车安全控制,专为安全系统设计的高性能微控制器,瑞萨电子（Renesas）,符合ISO 26262标准,用于安全气囊和刹车系统
Bosch MM5.10,汽车传感器,高精度惯性传感器，用于车辆稳定性控制,Bosch,符合汽车传感器标准,应用于ESP和ABS系统
NVIDIA Pegasus,自动驾驶平台,支持L5级自动驾驶的高性能计算平台,NVIDIA,符合汽车安全与可靠性标准,用于高级自动驾驶开发
Infineon BTF3050TE,汽车电源管理,高效智能电源开关,英飞凌（Infineon）,符合汽车电源管理标准,用于车载电气系统
Qualcomm Snapdragon Automotive Cockpit Platform,智能驾驶舱,支持语音识别和多显示屏控制,Qualcomm,符合汽车信息娱乐标准,用于智能驾驶舱系统
Renesas ISL78693,电池管理,高精度单芯锂电池充电IC,瑞萨电子（Renesas）,符合电动汽车电池管理标准,广泛应用于电动汽车电池管理系统
TI AM5728,车载信息娱乐系统,双核ARM Cortex-A15处理器，支持多媒体处理,德州仪器（TI）,通过汽车级认证,应用于高级信息娱乐系统
Microchip SAMC21,车载通信与控制,32位ARM Cortex-M0+微控制器,Microchip Technology,符合汽车行业标准,用于CAN/LIN通信模块
Broadcom BCM88470,车载网络交换机,支持千兆以太网的高性能交换芯片,Broadcom,符合汽车以太网标准,用于车载数据中心网络
Analog Devices LTC6804,电池监控,多单元锂电池电压监控芯片,Analog Devices,符合汽车电池管理标准,广泛应用于电动车和混动车
Infineon AUIR3241S,动力系统控制,用于高性能电机驱动的功率开关,英飞凌（Infineon）,符合ISO 26262功能安全标准,应用于动力系统
Renesas R-Car M3,车载信息与ADAS,支持多显示屏和ADAS的高性能处理器,瑞萨电子（Renesas）,符合汽车级标准,用于信息娱乐系统和ADAS
NXP MWCT1012,无线充电控制,专为车载无线充电系统设计,NXP半导体公司,符合汽车无线充电标准,广泛用于车内无线充电模块
Bosch MSC04020C,电机控制,高效率的电机控制芯片,Bosch,符合汽车功能安全标准,应用于混动和电动车
Texas Instruments DP83TC811,车载网络通信,单端口千兆以太网物理层收发器,德州仪器（TI）,符合汽车通信标准,用于车载网络系统
STMicroelectronics VN7140AJ,车载电子负载管理,用于高功率负载控制的智能功率开关,意法半导体（STMicroelectronics）,符合汽车电子控制标准,应用于车载电子负载管理
Qualcomm Automotive Connectivity Platform,车联网与通信,支持Wi-Fi 6和C-V2X的综合通信平台,Qualcomm,符合车联网标准,用于下一代车联网系统
Analog Devices ADSP-BF706,音频处理与信息娱乐,高性能数字信号处理器（DSP）,Analog Devices,符合汽车音频处理标准,用于高级音响系统
NXP S32Z,汽车域控制器,支持多域控制和虚拟化的高性能控制芯片,NXP半导体公司,符合ISO 26262标准,用于汽车域控制器应用
Renesas RAA270005,雷达信号处理,专为汽车雷达设计的信号处理IC,瑞萨电子（Renesas）,符合汽车雷达标准,广泛应用于雷达传感器系统
Infineon TLF35584,车载电源管理,支持多路输出的电源管理芯片,英飞凌（Infineon）,符合汽车电源管理标准,用于车载电源系统
Microchip ATmegaS64M1,汽车电机与传感器控制,高性能8位微控制器,Microchip Technology,符合汽车标准,应用于电机控制和传感器系统
NVIDIA Xavier,自动驾驶与ADAS,支持AI推理和传感器融合的高性能计算平台,NVIDIA,符合ISO 26262标准,用于自动驾驶开发系统
Bosch SPC58EC,车载ECU控制,支持多核并行处理的高性能微控制器,Bosch,通过汽车功能安全认证,应用于车辆ECU控制模块
Texas Instruments UCC5870,电动汽车电源管理,专为高压电池设计的隔离式栅极驱动器,德州仪器（TI）,符合汽车电池管理标准,用于电动车高压系统
