name,style,field,producer,qualityControl,sales
Broadcom BCM89884,车载通信与网络,支持10Gb以太网的车载通信芯片,Broadcom,符合汽车通信标准,用于高性能车载网络
STMicroelectronics STM32H723,车载控制与通信,基于ARM Cortex-M7的高性能微控制器,意法半导体（STMicroelectronics）,符合ISO 26262标准,用于车载控制系统
Qualcomm QCA6595AU,车载Wi-Fi与蓝牙,支持多协议无线通信的车载芯片,Qualcomm,符合车载无线通信标准,广泛用于车内无线连接模块
Infineon AURIX TC375,车载安全控制,三核架构的高性能微控制器,英飞凌（Infineon）,符合ISO 26262标准,用于汽车安全和动力控制
NXP FS4500,汽车电源管理,集成电源管理与功能安全的芯片,NXP半导体公司,符合ISO 26262标准,广泛应用于ECU和ADAS系统
Renesas R-Car D3,车载图形处理,支持3D图形渲染的高性能处理器,瑞萨电子（Renesas）,符合汽车信息娱乐标准,应用于车载显示系统
Bosch HSM2,汽车安全模块,硬件安全模块，用于数据加密和通信安全,Bosch,符合汽车安全标准,用于车联网和数据保护
Analog Devices ADM3055E,车载通信接口,支持CAN FD通信的隔离式收发器,Analog Devices,符合汽车通信标准,用于CAN网络
NXP MPC5744P,汽车动力总成控制,多核架构的高性能微控制器,NXP半导体公司,符合ISO 26262标准,应用于动力总成管理
Qualcomm Snapdragon Automotive Gen 4,车载AI与导航,集成AI加速和5G通信的新一代平台,Qualcomm,符合汽车行业标准,用于高级车载信息娱乐系统
STMicroelectronics L9963,电池管理,多串锂电池管理芯片,意法半导体（STMicroelectronics）,符合汽车电池管理标准,广泛应用于电动车电池管理
Infineon XENSIV TLE4998C,车载传感器,高精度霍尔效应传感器,英飞凌（Infineon）,符合车载传感器标准,用于位置和角度检测
Texas Instruments AWR1843,车载雷达,支持77GHz频段的单芯片雷达解决方案,德州仪器（TI）,符合ISO 26262标准,广泛应用于ADAS雷达系统
Broadcom BCM89500,车载以太网交换机,支持时间敏感网络（TSN）的多端口交换芯片,Broadcom,符合汽车网络通信标准,用于实时车载通信
NVIDIA Jetson AGX Orin,自动驾驶与AI开发,支持多传感器融合和深度学习推理的计算平台,NVIDIA,符合ISO 26262标准,用于高级自动驾驶系统
Renesas RL78/F14,车载低功耗控制,超低功耗微控制器，适用于车载小型控制系统,瑞萨电子（Renesas）,符合汽车级认证,广泛应用于入门级汽车
ON Semiconductor NCV7685,汽车灯光控制,多通道LED驱动器芯片,安森美半导体（ON Semiconductor）,符合汽车照明控制标准,用于汽车灯光系统
Analog Devices ADSP-CM419,动力系统与控制,高性能数字信号处理器，支持实时运算,Analog Devices,符合ISO 26262标准,应用于动力总成管理
STMicroelectronics VN9005AJ,车载负载管理,高效智能功率开关,意法半导体（STMicroelectronics）,符合汽车电子控制标准,用于车载电气负载管理
Qualcomm 9150 C-V2X,车联网（V2X通信）,支持直接通信和网络通信的车载平台,Qualcomm,符合V2X标准,广泛应用于车联网系统
Renesas RX72N,车载控制系统,高性能32位微控制器，适用于车载多功能控制,瑞萨电子（Renesas）,符合汽车行业标准,用于车内控制系统
NXP S32E,电动汽车控制,专为电动车设计的电驱控制芯片,NXP半导体公司,符合ISO 26262标准,应用于电动汽车驱动系统
Bosch CGW Control Unit,车载通信网关,支持多协议通信的车载网关单元,Bosch,符合汽车通信网关标准,用于车载网络通信
Analog Devices LTC6811,电池管理,支持多节电池监控的电源管理芯片,Analog Devices,符合汽车电池管理标准,广泛应用于新能源车
TI MSP430FR6989,车载低功耗控制,16位超低功耗微控制器,德州仪器（TI）,符合汽车控制系统标准,用于车内低功耗应用
Microchip AVR128DA28,车载传感器与控制,集成多个通信接口的8位微控制器,Microchip Technology,符合汽车标准,应用于车载小型传感器系统
NVIDIA DRIVE PX2,自动驾驶开发平台,支持深度学习和传感器融合的计算平台,NVIDIA,符合ISO 26262标准,用于自动驾驶开发
NVIDIA Orin AGX,自动驾驶与ADAS,高性能AI计算平台，支持自动驾驶车辆感知和决策,NVIDIA,符合ISO 26262功能安全标准,销售给自动驾驶汽车制造商和高端ADAS供应商
Bosch MCU5,汽车动力控制,多核处理器，支持发动机控制和车辆动力系统优化,Bosch,通过严格汽车动力系统测试,应用于传统燃油车和混合动力汽车的发动机控制模块
Infineon OptiMOS 5,电动汽车功率管理,专为高效能功率转换设计的MOSFET，用于电机驱动系统,英飞凌（Infineon）,符合ISO 26262和车载可靠性标准,广泛应用于电动汽车和混合动力汽车的逆变器和充电系统
Renesas R-Car E3,车载信息娱乐系统,面向高端信息娱乐系统设计的高性能芯片,瑞萨电子（Renesas）,符合车载娱乐系统的可靠性和性能要求,用于高端车载娱乐系统和数字仪表盘
Qualcomm Snapdragon 820A,车载AI与娱乐平台,支持AI加速、实时通信和高性能图形渲染的车载平台,Qualcomm,符合ISO 26262和汽车娱乐系统安全标准,销售给汽车制造商和Tier 1供应商
STMicroelectronics SPC57,汽车动力与安全控制,高性能多核微控制器，适用于动力管理和安全关键型应用,意法半导体（STMicroelectronics）,符合ISO 26262认证,主要用于高端车辆的动力管理和电子控制单元（ECU）
Microchip SAM E54,车载网络通信与安全,集成多协议通信接口的低功耗微控制器,Microchip Technology,符合车载通信和网络安全标准,销售给车联网和V2X通信系统开发商
Broadcom BCM89831,车载以太网交换,面向汽车以太网通信的高速交换芯片,Broadcom,符合车载以太网标准,应用于高级车载网络和自动驾驶通信系统
Texas Instruments TPS92692,汽车LED照明控制,高效能的LED驱动芯片，用于汽车内外灯光系统,德州仪器（TI）,符合ISO 26262和车载照明系统标准,广泛应用于车辆前大灯、尾灯和装饰照明控制模块
Infineon Traveo II,数字仪表盘与ADAS,支持高性能图形渲染和驾驶辅助功能的汽车级处理器,英飞凌（Infineon）,符合车载仪表和信息娱乐的可靠性要求,销售给高级数字仪表盘系统和车载信息娱乐供应商
Bosch LRR3,长距离雷达,适用于高速公路和长距离环境感知的雷达传感器,Bosch,符合ADAS系统的严格功能安全要求,应用于自动驾驶和高级驾驶辅助系统
Renesas V850ES,汽车安全与传感器控制,超低功耗微控制器，支持车载传感器和低功耗应用,瑞萨电子（Renesas）,符合汽车行业的低功耗标准,广泛用于车辆座椅、门锁、车灯等舒适性模块
NVIDIA Jetson TX2i,车载嵌入式AI,面向车载AI和嵌入式系统设计的高性能处理器,NVIDIA,符合车载行业的可靠性要求,销售给高级车载AI和嵌入式平台开发商
Microchip LAN9252,车载工业以太网,集成多种协议的实时工业以太网通信芯片,Microchip Technology,符合车载以太网标准,用于汽车网络通信和工业级通信应用
Qualcomm Snapdragon Automotive 5,车载AI与导航系统,集成AI加速、5G通信和导航功能的高性能汽车芯片,Qualcomm,符合汽车娱乐与导航系统标准,用于下一代车载导航和娱乐解决方案
STMicroelectronics STM32H7,汽车控制与显示系统,基于ARM Cortex-M7内核的高性能微控制器,意法半导体（STMicroelectronics）,符合ISO 26262功能安全标准,广泛用于高级车辆的显示和通信控制模块
Renesas RZ/G2,车载HMI与娱乐系统,支持高级人机交互（HMI）和多媒体播放的车载处理器,瑞萨电子（Renesas）,符合车载HMI和娱乐系统的高性能要求,销售给车载信息娱乐系统和高端仪表盘制造商
Bosch MID3,中距离雷达,适用于城市驾驶环境的雷达传感器,Bosch,符合车载雷达的高可靠性标准,应用于城市自动驾驶和驾驶辅助系统
Infineon Aurix TC275,动力系统与安全控制,高性能多核微控制器，支持实时计算和功能安全设计,英飞凌（Infineon）,符合ISO 26262功能安全标准,广泛应用于发动机控制系统和汽车安全控制单元
Bosch Automotive ECU,高级驾驶辅助系统 (ADAS),提供高效的电控单元，支持多传感器数据融合和实时响应,博世公司,符合ISO 26262标准，具有高冗余性和安全性设计,广泛供应给车企和Tier 1供应商
Infineon AURIX™ TriCore,高级驾驶辅助系统 (ADAS),高性能处理器，支持复杂的车辆控制与安全计算任务,英飞凌公司,满足ISO 26262标准，提供多种安全机制和实时监控,销售给OEM厂商和Tier 1供应商
Analog Devices ADSP-SC589,电动汽车控制系统,提供高效的数据处理和控制能力，适用于电动汽车动力系统,模拟设备公司,符合汽车行业标准，具备多级故障保护和热管理功能,销售给电动汽车系统集成商
Qualcomm Snapdragon Automotive 4,车载娱乐与信息系统,高性能处理平台，支持语音识别、AI助手和车载连接功能,高通公司,符合汽车行业可靠性与安全性标准，支持高速连接和流媒体传输,主要供应给车企和Tier 1供应商
Microchip PIC32MZ,车载控制系统,提供高性能、低功耗的32位处理能力，适用于车载控制系统,微芯科技公司,满足汽车级可靠性标准，支持实时处理和低延迟操作,销售给汽车零部件供应商和OEM厂商
Xilinx Zynq UltraScale+,自动驾驶平台,高度可编程的平台，支持自动驾驶所需的视觉和AI计算,赛灵思公司,满足ISO 26262功能安全标准，提供高冗余和实时数据处理能力,销售给自动驾驶技术公司和车企
NXP BlueBox 3.0,自动驾驶平台,高性能自动驾驶计算平台，支持深度学习、环境感知等功能,NXP半导体公司,满足ISO 26262安全标准，具备系统冗余和自我修复功能,主要供应给自动驾驶公司和Tier 1供应商
NXP S32V234,高级驾驶辅助系统 (ADAS),专为ADAS设计，支持图像处理、传感器融合等功能,NXP半导体公司,符合ISO 26262功能安全标准，具备高度可靠性与安全性,广泛应用于汽车行业，尤其是在自动驾驶领域
Qualcomm Snapdragon Automotive 3,车载娱乐与信息系统,基于Snapdragon移动平台，集成高性能计算、AI加速、图形处理等功能,高通公司,符合汽车行业的可靠性和安全性标准,主要销售给车企和Tier 1供应商
Renesas R-Car H3,高级驾驶辅助系统 (ADAS),专为自动驾驶和车载智能系统设计，具备实时数据处理能力,瑞萨电子公司,符合ISO 26262功能安全标准，支持多种传感器融合与实时数据分析,销售给汽车厂商和自动驾驶技术公司
Intel® Atom™ A3900,车载信息娱乐系统,支持高效图形处理与多种车载连接协议,英特尔公司,符合汽车级AEC-Q100标准，确保高可靠性与长生命周期,销售给车载信息娱乐系统供应商
NVIDIA Drive AGX Xavier,自动驾驶平台,强大的计算平台，支持深度学习、计算机视觉和高性能计算,英伟达公司,符合ISO 26262安全标准，具备多级冗余设计和容错功能,主要供应给自动驾驶技术公司和车企
Bosch Automotive ECU,高级驾驶辅助系统 (ADAS),电控单元，支持多传感器数据融合，自动紧急制动等功能,博世公司,满足ISO 26262标准，提供实时数据处理与系统冗余设计,销售给Tier 1供应商和车企
Texas Instruments TDA4VM,高级驾驶辅助系统 (ADAS),提供AI加速与图像处理能力，支持传感器融合和实时分析功能,德州仪器公司,满足ISO 26262功能安全要求，支持系统冗余设计,销售给自动驾驶技术公司和车企
STMicroelectronics SPC58EC80,电动汽车控制系统,适用于电动汽车的电池管理和动力系统控制,意法半导体公司,符合ISO 26262功能安全标准，提供多重安全功能,销售给电动汽车制造商和Tier 1供应商
Microchip PIC32MZ,车载控制系统,提供32位处理能力，适用于车载控制系统与实时数据处理,微芯科技公司,满足汽车级可靠性标准，支持实时处理和低延迟操作,销售给车载控制系统集成商
NXP S32G274A,高级驾驶辅助系统 (ADAS),高性能车载通信和控制处理平台，支持智能网联功能,NXP半导体公司,符合ISO 26262功能安全标准，支持车载网络与多传感器融合,销售给车企、Tier 1供应商及系统集成商
Renesas R-Car V3H,高级驾驶辅助系统 (ADAS),专为ADAS系统设计，支持车道保持、碰撞预警等功能,瑞萨电子公司,符合ISO 26262功能安全标准，具备高效的数据处理能力,销售给自动驾驶技术公司、车企及Tier 1供应商
Qualcomm Snapdragon Ride™ Platform,自动驾驶平台,集成AI计算和图形处理，支持深度学习和传感器融合,高通公司,符合ISO 26262标准，具备冗余与容错设计,销售给自动驾驶公司及高端车企
Intel Mobileye EyeQ5,自动驾驶平台,高度集成的芯片，专为自动驾驶计算与环境感知设计,英特尔公司,符合ISO 26262功能安全标准，提供AI推理能力,供应给车企、自动驾驶技术公司及Tier 1供应商
Bosch CES2020 Sensor Fusion Platform,高级驾驶辅助系统 (ADAS),集成多种传感器与算法，支持环境感知与路径规划,博世公司,满足ISO 26262功能安全标准，支持多传感器融合,销售给车企、OEM厂商及Tier 1供应商
NVIDIA Xavier AGX,自动驾驶平台,强大的计算平台，支持自动驾驶与人工智能应用,英伟达公司,符合ISO 26262标准，支持深度学习与图像处理,销售给自动驾驶技术公司与车企
Infineon SAK-TC3xx,电动汽车控制系统,用于电动汽车的电池管理、动力系统和充电控制,英飞凌公司,符合ISO 26262标准，具备高效的热管理与保护功能,销售给电动汽车制造商、Tier 1供应商
Microchip SAM E70,车载控制系统,适用于车载信息娱乐、控制系统和动力系统,微芯科技公司,符合汽车级可靠性标准，支持实时操作与数据处理,销售给车载系统集成商和OEM厂商
STMicroelectronics SPC560B,车载控制系统,高性能处理器，支持车载应用与嵌入式控制,意法半导体公司,满足ISO 26262标准，具备高效控制与安全机制,销售给汽车电子设备供应商和OEM厂商
Texas Instruments Jacinto 7,高级驾驶辅助系统 (ADAS),提供AI加速和多媒体功能，支持车载自动驾驶应用,德州仪器公司,满足ISO 26262功能安全标准，具备系统冗余和容错功能,销售给自动驾驶技术公司与车企
ARM Cortex-A53,电动汽车控制系统,适用于电动汽车的动力系统控制、能源管理与电池监控,ARM公司,满足ISO 26262标准，支持低功耗计算和实时处理,销售给电动汽车制造商和Tier 1供应商
Microchip PIC32MX,车载控制系统,提供16位处理能力，适用于简单的车载控制与传感器接口,微芯科技公司,满足汽车级可靠性标准，支持低功耗和实时操作,销售给车载系统集成商
Infineon XMC4800,车载控制系统,高性能32位微控制器，适用于电动汽车动力系统,英飞凌公司,符合ISO 26262标准，支持实时数据处理与控制系统,销售给电动汽车制造商和OEM厂商
Texas Instruments C2000,电动汽车控制系统,适用于电动汽车的电池管理系统与动力系统控制,德州仪器公司,符合汽车行业的高可靠性和安全性标准,销售给电动汽车系统集成商
Renesas RX72M,车载控制系统,适用于车载电动控制和动力系统管理,瑞萨电子公司,符合ISO 26262功能安全标准，具备高效的系统集成能力,销售给车载控制系统制造商
NVIDIA Orin SoC,自动驾驶平台,高度集成的处理平台，支持AI计算和自动驾驶功能,英伟达公司,符合ISO 26262标准，提供强大的冗余设计与容错能力,销售给自动驾驶技术公司与车企
STMicroelectronics STM32F7,车载控制系统,高性能32位微控制器，适用于各种车载控制应用,意法半导体公司,满足ISO 26262标准，支持实时数据处理与低功耗控制,销售给车载系统集成商
Intel® Mobileye EyeQ4,自动驾驶平台,集成环境感知与深度学习功能，支持自动驾驶计算,英特尔公司,符合ISO 26262功能安全标准，具备高效的感知处理能力,销售给自动驾驶技术公司与车企
